18,30,40,48,52
12,27,29,43,68
15,20,29,31,40
48,49,57,62,69
30,32,42,56,57
20,31,56,60,64
4,54,56,62,63
9,20,25,47,68
2,12,17,20,65
7,16,25,50,53
4,26,32,55,64
14,22,37,45,66
17,40,41,46,69
37,47,50,52,57
16,29,53,58,69
2,6,47,66,67
14,18,19,32,64
13,27,33,47,68
7,10,16,46,56
2,14,19,30,62
9,10,32,42,55
28,30,41,59,68
16,38,55,63,67
27,40,44,59,65
12,36,38,54,61
5,6,15,29,42
2,11,47,62,63
16,19,32,34,57
4,8,19,27,34
3,51,52,61,64
5,39,44,47,69
22,32,34,40,69
3,12,40,52,67
5,12,16,31,43
26,28,31,60,67
4,13,31,36,52
2,3,40,50,62
7,15,18,19,36
7,17,27,29,40
11,12,15,16,54
21,31,64,65,67
10,11,21,22,53
12,13,44,52,62
3,27,34,59,69
14,23,32,34,68
11,28,50,57,62
10,12,13,46,50
11,23,43,54,60
5,8,15,22,49
11,23,42,52,68
24,44,53,55,63
9,28,30,40,61
4,28,49,60,65
14,22,23,41,61
30,33,35,38,64
3,18,25,32,51
12,25,30,52,62
19,35,46,59,62
2,25,33,39,64
3,12,16,32,34
30,47,57,66,69
5,25,26,44,66
20,32,52,66,69
13,27,47,64,65
23,25,39,54,67
5,7,9,23,32
11,24,41,59,64
6,33,34,58,59
23,30,33,40,69
16,20,22,43,64
12,25,37,60,69
20,27,36,41,58
4,22,24,31,33
2,23,41,53,63
14,40,42,43,52
3,27,36,56,69
23,29,37,60,64
10,34,39,59,63
2,24,31,57,66
10,28,32,61,64
3,15,29,54,57
11,17,40,50,62
6,25,35,58,66
5,7,23,35,39
10,47,50,65,68
11,17,21,23,32
9,11,27,66,67
20,33,36,47,52
23,56,61,64,67
38,44,60,64,69
33,44,49,50,52
3,6,21,60,68
9,11,25,64,65
4,32,48,49,63
5,10,24,56,61
7,39,50,59,67
22,23,29,33,55
3,17,49,55,68
10,11,23,28,31
9,19,51,55,62
1,28,63,67,69
7,15,20,29,41
30,38,52,53,62
2,12,50,61,64
8,18,27,29,60
3,54,61,64,68
16,30,34,37,44
23,49,57,64,67
10,16,38,43,63
1,28,33,55,56
2,3,16,48,56
19,20,21,42,48
13,18,37,54,61
21,31,50,51,69
1,25,28,31,54
8,17,20,27,52
28,41,61,63,65
16,24,28,43,61
7,32,41,47,61
17,19,21,37,44
3,14,18,25,45
8,10,26,27,33
41,48,49,53,64
12,21,32,44,66
18,26,37,39,66
1,8,16,40,48
25,33,40,54,68
28,38,42,51,52
16,23,30,44,58
1,3,28,57,67
16,17,29,41,42
3,12,24,37,63
1,3,13,16,43
23,55,59,64,69
9,40,41,53,58
23,25,45,52,67
18,28,62,66,68
12,20,39,49,69
9,43,57,60,64
6,13,16,17,52
14,20,42,49,66
5,9,17,37,64
5,28,33,38,42
3,7,9,31,33
10,13,28,52,61
6,32,47,62,65
10,16,40,52,55
10,16,40,52,55
2,18,19,22,63
23,33,42,46,59
1,26,41,50,57
16,30,41,48,53
13,25,44,54,67
2,9,27,29,42
18,31,32,45,48
8,15,31,36,62
9,32,36,44,65
8,20,46,53,54
23,36,51,53,60
8,14,61,63,68
5,22,26,45,61
1,19,37,40,52
21,39,41,48,63
1,15,18,26,51
22,23,24,45,62
17,18,49,59,66
11,21,31,41,59
29,31,46,56,62
17,20,32,63,68
4,11,39,45,48
5,22,45,47,54
28,32,33,38,62
5,10,28,55,67
4,33,39,46,60
3,9,21,41,54
5,21,57,66,69
5,22,43,57,63
10,13,32,53,62
14,46,61,65,68
10,22,32,36,58
29,37,46,53,68
19,42,45,48,53
4,9,16,54,68
8,10,29,40,59
1,2,18,23,61
9,40,63,64,66
50,51,59,61,63
5,32,44,53,60
7,19,21,42,69
1,28,40,45,48
1,16,54,63,69
11,21,28,33,45
12,30,36,47,62
20,24,26,35,49
9,15,43,60,64
17,19,39,43,68
6,7,16,23,26
7,15,32,38,66
19,28,43,67,69
6,21,41,52,62
8,14,32,58,67
6,20,29,57,59
17,24,35,57,63
17,18,24,25,31
39,48,53,67,68
24,45,55,56,57
8,10,21,23,25
8,12,25,41,64
22,23,62,63,66
10,49,61,63,65
1,3,13,19,69
32,37,56,66,69
30,49,54,66,69
14,41,42,45,69
18,22,29,54,57
27,35,38,57,66
3,6,19,26,44
12,14,26,48,51
12,14,20,21,34
4,6,16,30,56
23,32,44,48,50
17,28,31,32,39
35,37,46,51,61
8,13,27,53,54
24,26,28,59,63
28,30,32,36,58
19,20,50,55,62
25,36,37,55,60
2,24,28,51,58
9,35,37,50,63
1,20,61,64,69
1,3,13,15,44
3,9,16,56,60
28,36,41,51,58
2,18,37,39,42
12,61,30,29,33
7,24,33,49,50
14,25,35,58,69
3,33,37,51,57
26,28,47,49,58
5,9,11,33,64
17,21,26,47,54
4,7,14,46,59
15,23,27,48,53
23,34,35,40,47
1,13,27,41,59
37,39,44,46,69
13,26,39,44,62
7,15,31,34,36
24,25,38,62,63
12,30,59,65,69
13,17,25,36,40
6,13,19,36,51
43,44,54,61,69
6,12,24,41,68
22,57,59,60,66
3,4,18,29,61
10,33,45,53,56
6,8,26,52,53
8,24,52,55,61
8,24,42,54,64
2,17,20,38,39
16,18,27,55,67
17,19,26,61,62
9,10,12,17,23
40,50,54,62,69
17,18,39,56,64
20,22,28,45,50
5,14,31,40,50
14,29,36,57,61
11,16,38,50,69
22,42,45,55,56
17,19,21,22,51
3,6,9,17,56
20,54,56,61,64
1,21,31,45,49
17,23,26,46,68
23,25,37,44,64
23,28,41,53,56
6,10,15,25,36
13,20,38,45,55
9,45,57,58,65
4,14,23,27,56
16,29,43,45,56
7,28,37,62,63
3,9,20,42,61
4,7,15,41,44
1,10,43,45,64
19,21,27,46,47
22,41,42,49,67
1,10,27,28,36
